yourlist:M20180720A7434721E10EE6586998A056CCD0537E950530A	isomap:M20180720A7434721E10EE6586998A056CCD0537E950530A	Entry	Entry name	Status	Protein names	Gene names	Organism	Cross-reference (RefSeq)
y2765		Q8ZG99	MUKB_YERPE	reviewed	Chromosome partition protein MukB (Structural maintenance of chromosome-related protein)	mukB YPO1405 y2765 YP_1188	Yersinia pestis	WP_002211308.1;YP_002346428.1;
y2767		Q8ZGA1	MUKF_YERPE	reviewed	Chromosome partition protein MukF	mukF YPO1403 y2767 YP_1190	Yersinia pestis	WP_002211310.1;YP_002346426.1;
y2814		P58411	MACA_YERPE	reviewed	Macrolide export protein MacA	macA YPO1364 y2814 YP_1230	Yersinia pestis	WP_002211352.1;YP_002346387.1;
y2826		A0A0H2W416	A0A0H2W416_YERPE	unreviewed	Lipoprotein (Putative enzyme) (Putative lipoprotein)	y2826 YP_1242 C6P89_15635	Yersinia pestis	WP_002211365.1;
y2836		Q8D035	Q8D035_YERPE	unreviewed	Putative ABC transport protein	smtA3 y2836 YP_1250	Yersinia pestis	
y2864		Q0WH93	Q0WH93_YERPE	unreviewed	D-alanyl-D-alanine carboxypeptidase (D-alanyl-D-alanine carboxypeptidase penicillin-binding protein 6) (Serine-type D-Ala-D-Ala carboxypeptidase) (EC 3.4.16.4)	dacC y2864 YP_1272 C6P89_07935	Yersinia pestis	WP_002228017.1;
y2882		P31522	PSAA_YERPE	reviewed	pH 6 antigen (Adhesin) (Antigen 4)	psaA YPO1303 y2882 YP_1289	Yersinia pestis	WP_002208794.1;YP_002346328.1;
y2910		A0A0H2W3D6	A0A0H2W3D6_YERPE	unreviewed	ABC transporter substrate-binding protein (Putative substrate-binding transport protein)	oppA2 y2910 YP_1316 C6P89_07710	Yersinia pestis	WP_002208825.1;
y2913		Q8D022	Q8D022_YERPE	unreviewed	Putative ATP-binding component of a transport system	y2913	Yersinia pestis	
y2940		Q0WHG2	Q0WHG2_YERPE	unreviewed	Phage tail protein	y2940 C6P89_03165	Yersinia pestis	WP_002208850.1;
y2980		Q8D012	Q8D012_YERPE	unreviewed	Uncharacterized protein	y2980 YP_0930	Yersinia pestis	
y3018		Q0WHN6	Q0WHN6_YERPE	unreviewed	BAX inhibitor (BI)-1/YccA family protein (Putative membrane protein)	y3018 YP_0996 C6P89_14730	Yersinia pestis	WP_002210775.1;
y3041		Q8D001	Q8D001_YERPE	unreviewed	ATP-binding component of molybdate transport system (Putative molybdenum transport ATP-binding protein modF)	modF y3041 YP_1018	Yersinia pestis	
y3058		Q0WHS4	Q0WHS4_YERPE	unreviewed	Tol-Pal system protein TolQ	tolQ y3058 YP_1035 C6P89_14940	Yersinia pestis	WP_002210735.1;
y3074		Q8ZH09	NADK_YERPE	reviewed	NAD kinase (EC 2.7.1.23) (ATP-dependent NAD kinase)	nadK YPO1106 y3074 YP_1050	Yersinia pestis	WP_002210719.1;YP_002346149.1;
y3076		Q7CH39	BAME_YERPE	reviewed	Outer membrane protein assembly factor BamE	bamE smpA YPO1104 y3076 YP_1052	Yersinia pestis	WP_002228037.1;YP_002346147.1;
y3104		Q8ZH38	METN1_YERPE	reviewed	Methionine import ATP-binding protein MetN 1 (EC 3.6.3.-)	metN1 YPO1073 y3104 YP_2776	Yersinia pestis	WP_002212161.1;YP_002346117.1;
y3106		Q8ZH40	METQ_YERPE	reviewed	D-methionine-binding lipoprotein MetQ	metQ YPO1071 y3106 YP_2778	Yersinia pestis	WP_002212159.1;YP_002346115.1;
y3110		Q0WHX7	Q0WHX7_YERPE	unreviewed	Copper homeostasis protein (Lipoprotein) (Copper homeostasis/adhesion lipoprotein NlpE) (Putative copper homeostasis lipoprotein)	cutF y3110 YP_2782 C6P89_17235	Yersinia pestis	WP_002228043.1;
y3235		Q8ZHP0	LAMB2_YERPE	reviewed	Maltoporin-2 (Maltose-inducible porin 2)	lamB2 YPO0850 y3235 YP_3547	Yersinia pestis	WP_002215759.1;YP_002345901.1;
y3242		Q8CZW8	Q8CZW8_YERPE	unreviewed	ABC transporter ATP-binding protein (Putative transport ATP-binding protein)	y3242 YP_3554 C6P89_10700	Yersinia pestis	WP_002223743.1;
y3306		Q0WIC1	Q0WIC1_YERPE	unreviewed	Mechanosensitive ion channel protein MscS (Putative membrane protein) (Putative transport protein)	mscS2 y3306 YP_3521 C6P89_13425	Yersinia pestis	WP_002209961.1;
y3311		Q8CZV8	Q8CZV8_YERPE	unreviewed	Zn-dependent protease with chaperone function	htpX3 y3311 YP_3515	Yersinia pestis	
y3341		Q8ZHE6	MLTC_YERPE	reviewed	Membrane-bound lytic murein transglycosylase C (EC 4.2.2.n1) (Murein lyase C)	mltC YPO0954 y3341 YP_3487	Yersinia pestis	WP_002209995.1;
y3385		Q0WI49	Q0WI49_YERPE	unreviewed	Aerobactin OM receptor (Putative ferric siderophore receptor) (TonB-dependent siderophore receptor)	iutA y3385 YP_3446 C6P89_16570	Yersinia pestis	WP_002211646.1;
y3494		A0A0H2W7R5	A0A0H2W7R5_YERPE	unreviewed	ExbD/TolR-family transport protein (TonB system transport protein ExbD) (TonB-complex protein)	exbD y3494 YP_2998 C6P89_01720	Yersinia pestis	WP_002212170.1;
y3495		Q8CZS6	Q8CZS6_YERPE	unreviewed	Biopolymer transporter ExbB (TonB complex protein)	exbB y3495 YP_2997 C6P89_01715	Yersinia pestis	WP_011055760.1;
y3560		A0A0H2W629	A0A0H2W629_YERPE	unreviewed	Protein CyaE	cyaE y3560 YP_2935 C6P89_01385	Yersinia pestis	WP_002214220.1;
y3586		A0A0H2W7Y4	A0A0H2W7Y4_YERPE	unreviewed	Protein phosphatase 2C domain-containing protein	y3586 YP_2913 C6P89_01265	Yersinia pestis	WP_002210398.1;
y3622		A0A0H2W9H8	A0A0H2W9H8_YERPE	unreviewed	Cell division protein FtsA	ftsA2 ftsA y3622 YP_3625 C6P89_18395	Yersinia pestis	WP_002210431.1;
y3625		Q8ZIE8	MURC_YERPE	reviewed	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase)	murC YPO0556 y3625 YP_3628	Yersinia pestis	WP_002216457.1;YP_002345627.1;
y3640		Q8CZQ3	Q8CZQ3_YERPE	unreviewed	Acetolactate synthase (EC 2.2.1.6)	ilvI y3640 YP_3646	Yersinia pestis	
y3656		Q8ZII0	RAPA_YERPE	reviewed	RNA polymerase-associated protein RapA (EC 3.6.4.-) (ATP-dependent helicase HepA)	rapA hepA YPO0517 y3656 YP_3662	Yersinia pestis	WP_002220588.1;YP_002345591.1;
y3658		Q8CKD9	Q8CKD9_YERPE	unreviewed	Uncharacterized protein	icmF3 y3658 YP_3664	Yersinia pestis	
y3659		Q8CKD8	Q8CKD8_YERPE	unreviewed	Uncharacterized protein	y3659 YP_3665	Yersinia pestis	
y3660		Q8CKD7	Q8CKD7_YERPE	unreviewed	Uncharacterized protein	y3660 YP_3666	Yersinia pestis	
y3664		Q0WJF5	Q0WJF5_YERPE	unreviewed	Putative low-complexity proteins	y3664 YP_3670 C6P89_08690	Yersinia pestis	WP_002214739.1;
y3665		Q8CKD5	Q8CKD5_YERPE	unreviewed	DUF2169 domain-containing protein (Putative low-complexity proteins)	y3665 YP_3671 C6P89_08685	Yersinia pestis	WP_002224087.1;
y3668		A0A0H2W7R8	A0A0H2W7R8_YERPE	unreviewed	Type VI secretion system tip protein VgrG	vgrG5 y3668 YP_3672 C6P89_08680	Yersinia pestis	WP_002210474.1;
y3671		A0A0H2W8G5	A0A0H2W8G5_YERPE	unreviewed	Type VI secretion system baseplate subunit TssF	vasA y3671 YP_3675 C6P89_08665	Yersinia pestis	WP_002210477.1;
y3674		A0A0H2W9L2	A0A0H2W9L2_YERPE	unreviewed	Type VI secretion system contractile sheath large subunit	tssC y3674 YP_3678 C6P89_08650	Yersinia pestis	WP_002214743.1;
y3675		Q0WJG5	Q0WJG5_YERPE	unreviewed	Type VI secretion system contractile sheath small subunit	tssB y3675 YP_3679 C6P89_08645	Yersinia pestis	WP_002210481.1;
y3676		A0A0H2W8G8	A0A0H2W8G8_YERPE	unreviewed	Uncharacterized protein	y3676 YP_3680 C6P89_08640	Yersinia pestis	WP_002210482.1;
y3731		Q0WJL8	Q0WJL8_YERPE	unreviewed	Lipoprotein (Putative lipoprotein) (Putative outer membrane protein)	ompA5 y3731 YP_3735 C6P89_02615	Yersinia pestis	WP_002215967.1;
y3737		Q0WJM1	Q0WJM1_YERPE	unreviewed	DNA repair protein RadA	sms radA y3737 YP_3739 C6P89_02595	Yersinia pestis	WP_002209220.1;
y3760		Q8CZN4	Q8CZN4_YERPE	unreviewed	Putative multidrug resistance protein	y3760	Yersinia pestis	
y3803		Q0WKR6	Q0WKR6_YERPE	unreviewed	Putative GTP-binding factor (Putative GTPase) (Translational GTPase TypA)	bipA y3803 YP_0027 C6P89_19650	Yersinia pestis	WP_002217380.1;
y3864		Q0WA52	Q0WA52_YERPE	unreviewed	Histidine kinase (EC 2.7.13.3)	y3864 C6P89_17685	Yersinia pestis	WP_002209524.1;
y3891		Q8CWG4	Q8CWG4_YERPE	unreviewed	Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	glpD y3891 YP_3299	Yersinia pestis	
y3924		Q8CZJ8	Q8CZJ8_YERPE	unreviewed	Peptidoglycan synthetase penicillin-binding protein 1A	mrcA y3924	Yersinia pestis	
y3936		Q8CZJ7	Q8CZJ7_YERPE	unreviewed	Cell division protein DamX	damX y3936	Yersinia pestis	WP_002223839.1;
y3948		Q0WKD8	Q0WKD8_YERPE	unreviewed	Putative membrane receptor protein	cirA1 y3948 YP_0166	Yersinia pestis	WP_002208882.1;
y4020		Q0WK68	Q0WK68_YERPE	unreviewed	Potassium uptake protein (Trk system potassium transporter TrkA) (Trk system potassium uptake protein)	trkA y4020 YP_0237 C6P89_18140	Yersinia pestis	WP_002209018.1;
y4043		Q8CZI1	Q8CZI1_YERPE	unreviewed	Putative solute-binding iron ABC transport protein	fecB3 y4043 YP_3385	Yersinia pestis	
y4088		Q0W9W2	Q0W9W2_YERPE	unreviewed	Putative exported protein	y4088 YP_3980	Yersinia pestis	WP_002228156.1;
y4117		Q8Z9U3	YIDC_YERPE	reviewed	Membrane protein insertase YidC (Foldase YidC) (Membrane integrase YidC) (Membrane protein YidC)	yidC YPO4102 y4117 YP_4009	Yersinia pestis	WP_002220739.1;YP_002348953.1;
y4128		Q8Z9T1	PSTB2_YERPE	reviewed	Phosphate import ATP-binding protein PstB 2 (EC 3.6.3.27) (ABC phosphate transporter 2) (Phosphate-transporting ATPase 2)	pstB2 YPO4114 y4128 YP_4021	Yersinia pestis	WP_002215562.1;YP_002348965.1;
y4141		Q7CFM3	ATP6_YERPE	reviewed	ATP synthase subunit a (ATP synthase F0 sector subunit a) (F-ATPase subunit 6)	atpB YPO4127 y4141 YP_4034	Yersinia pestis	WP_002228150.1;YP_002348978.1;
y4144		Q8Z9R8	MNMG_YERPE	reviewed	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG (Glucose-inhibited division protein A)	mnmG gidA YPO4130 y4144 YP_4037	Yersinia pestis	WP_002212259.1;YP_002348981.1;
Y1020		A0A1U8QS12	A0A1U8QS12_YERPE	unreviewed	Putative lipoprotein	Y1020 YP_pMT035 C6P89_16125	Yersinia pestis	WP_002211796.1;YP_093911.1;
Y1020		Q0WCB8	Q0WCB8_YERPE	unreviewed	Cytochrome O Ubiquinol oxidase subunit I	cyoB y1020 YP_0766 C6P89_06945	Yersinia pestis	WP_002208650.1;
y0032		P28808	LCRF_YERPE	reviewed	Thermoregulatory protein LcrF	lcrF virF YPCD1.49 y5029 y0032 YP_pCD34	Yersinia pestis	NP_395183.1;NP_857733.1;NP_857928.1;WP_002212931.1;
y0032		Q8ZAS9	LAMB1_YERPE	reviewed	Maltoporin-1 (Maltose-inducible porin 1)	lamB1 lamB YPO3711 y0032 YP_3073	Yersinia pestis	WP_002212092.1;YP_002348592.1;
y0221		Q8D1N7	Q8D1N7_YERPE	unreviewed	Outer membrane lipoprotein (Putative outer membrane receptor)	slyB pcp2 y0221 YP_3901	Yersinia pestis	
y0325		Q8ZAA1	BTUB_YERPE	reviewed	Vitamin B12 transporter BtuB (Cobalamin receptor) (Outer membrane cobalamin translocator)	btuB YPO3910 y0325 YP_3138	Yersinia pestis	
y0396		Q0WAH6	Q0WAH6_YERPE	unreviewed	Outer membrane phospholipase A (Phospholipase A)	pldA y0396 YP_3214 C6P89_17470	Yersinia pestis	WP_002211483.1;
y0543		Q56989	HMUR_YERPE	reviewed	Hemin receptor	hmuR YPO0283 y0543 YP_0438	Yersinia pestis	WP_002209062.1;YP_002345365.1;
y0659		Q0WBC5	Q0WBC5_YERPE	unreviewed	Outer membrane protein assembly factor (Putative exported protein)	y0659 YP_0559 C6P89_02255	Yersinia pestis	WP_002210166.1;
y0850		Q8D192	Q8D192_YERPE	unreviewed	Putative outer membrane receptor	cirA2 y0850 YP_0347	Yersinia pestis	
y1324		Q8D0Z7	Q8D0Z7_YERPE	unreviewed	Outer membrane protein X	ompX y1324	Yersinia pestis	
y1419		Q0WCK7	BAMC_YERPE	reviewed	Outer membrane protein assembly factor BamC	bamC dapX nlpB YPO3061 y1419 YP_2683	Yersinia pestis	WP_002208557.1;YP_002347981.1;
y1577		Q8D0V0	Q8D0V0_YERPE	unreviewed	Long-chain fatty acid transport protein	fadL y1577	Yersinia pestis	WP_011055434.1;
y1682		Q8D0S1	Q8D0S1_YERPE	unreviewed	Outer membrane protein X (Putative outer membrane protein)	ompX y1682 YP_2321	Yersinia pestis	
y2167		A0A0H2W5M7	A0A0H2W5M7_YERPE	unreviewed	MipA/OmpV family protein (Putative exported protein)	y2167 YP_1955 C6P89_14250	Yersinia pestis	WP_002211680.1;
y2358		A0A1U8QGN1	A0A1U8QGN1_YERPE	unreviewed	Hemin storage system, HmsF protein (Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase PgaB)	hmsF y2358 YP_1696 C6P89_15525	Yersinia pestis	WP_002212043.1;
y2359		Q8D0D4	Q8D0D4_YERPE	unreviewed	Putative outer membrane protein	hmsH y2359	Yersinia pestis	
y2404		P46359	FYUA_YERPE	reviewed	Pesticin receptor (IRPC)	fyuA psn YPO1906 y2404 YP_1649	Yersinia pestis	WP_002212885.1;YP_002346897.1;
y2556		Q8D092	Q8D092_YERPE	unreviewed	Putative ferrichrome receptor, TonB dependent	fcuA y2556	Yersinia pestis	
y2735		Q8ZG77	OMPA_YERPE	reviewed	Outer membrane protein A	ompA ompA1 YPO1435 y2735 YP_1326	Yersinia pestis	WP_002213066.1;YP_002346456.1;
y2759		Q8D051	Q8D051_YERPE	unreviewed	Putative outer membrane porin	y2759	Yersinia pestis	
y2872		Q0WHA0	Q0WHA0_YERPE	unreviewed	Ligand-gated channel protein (Putative outer membrane iron/siderophore receptor) (Putative outer membrane protein)	yiuR y2872 YP_1279 C6P89_07895	Yersinia pestis	WP_002208782.1;
y2966		Q7CHA0	Q7CHA0_YERPE	unreviewed	Outer membrane protein 1b (Ibc) (Outer membrane protein C, porin)	ompC ompC1 y2966 YP_0916	Yersinia pestis	
y2983		Q8D011	Q8D011_YERPE	unreviewed	Putative outer membrane porin	y2983	Yersinia pestis	WP_002231293.1;
y3054		Q0WHS0	Q0WHS0_YERPE	unreviewed	Peptidoglycan-associated protein	pal y3054 YP_1031 C6P89_14920	Yersinia pestis	WP_002210739.1;
y3127		Q8ZH58	BAMA_YERPE	reviewed	Outer membrane protein assembly factor BamA	bamA yaeT YPO1052 y3127 YP_2798	Yersinia pestis	WP_002212139.1;YP_002346095.1;
y3343		Q8CZU8	Q8CZU8_YERPE	unreviewed	Putative TonB-dependent outer membrane receptor	y3343	Yersinia pestis	
y3404		Q8CZU1	Q8CZU1_YERPE	unreviewed	Putative OM receptor	y3404	Yersinia pestis	WP_002223671.1;
y3480		Q0WIX6	Q0WIX6_YERPE	unreviewed	Outer membrane usher protein (Putative outer membrane usher protein)	papC y3480 C6P89_11795	Yersinia pestis	WP_002211458.1;
y3516		A0A0H2W6T6	A0A0H2W6T6_YERPE	unreviewed	ABC-transporter outer membrane component (Outer membrane channel protein)	hasF y3516 YP_2978	Yersinia pestis	
y3680		Q8ZIK3	LPTD_YERPE	reviewed	LPS-assembly protein LptD	lptD imp ostA YPO0495 y3680 YP_3684	Yersinia pestis	WP_002228111.1;YP_002345568.1;
y4083		Q8CK76	Q8CK76_YERPE	unreviewed	Uncharacterized protein	y4083 YP_3975 C6P89_14395	Yersinia pestis	WP_002209617.1;
YP_2181		Q8ZDZ6	LPP_YERPE	reviewed	Major outer membrane lipoprotein (Murein-lipoprotein)	lpp YPO2394 y1943.1 YP_2181	Yersinia pestis	WP_002227902.1;YP_002347360.1;
y0037		P69980	YSCR_YERPE	reviewed	Yop proteins translocation protein R	yscR YPCD1.44 y5034 y0037 YP_pCD39	Yersinia pestis	NP_395178.1;NP_857738.1;NP_857933.1;WP_002212947.1;
y0037		Q8D1T9	Q8D1T9_YERPE	unreviewed	Uncharacterized protein	y0037 YP_3068	Yersinia pestis	
y0067		Q8D1S9	Q8D1S9_YERPE	unreviewed	Transcriptional regulator in 2-component system (Two component system response regulatory protein)	cpxR cpxR1 y0067 YP_0074	Yersinia pestis	
y0084		O68709	O68709_YERPE	unreviewed	Putative IS1617 transposase (Putative transposase) (Transposase)	Y0084 YPCD1.93	Yersinia pestis	NP_395222.1;NP_857767.1;NP_857970.1;WP_002213260.1;
y0084		Q8D1S4	Q8D1S4_YERPE	unreviewed	ADP-heptose--LPS heptosyltransferase II	rfaF y0084 YP_0058	Yersinia pestis	
y0098		Q0WKP9	Q0WKP9_YERPE	unreviewed	Putative alpha helix protein (Putative stress-induced protein) (YicC family protein)	y0098 YP_0044 C6P89_09390	Yersinia pestis	WP_002208998.1;
y0137		Q8D1R0	Q8D1R0_YERPE	unreviewed	Periplasmic serine endoprotease DegP-like (EC 3.4.21.107)	degQ y0137	Yersinia pestis	
y0163		Q8D1Q3	Q8D1Q3_YERPE	unreviewed	Putative translation initiation inhibitor	tdcF5 y0163 YP_3844	Yersinia pestis	
y0194		Q0WAY1	Q0WAY1_YERPE	unreviewed	Carbon-nitrogen hydrolase family protein (Putative carbon-nitrogen hydrolase)	y0194 YP_3875 C6P89_07075	Yersinia pestis	WP_002210081.1;
y0391		Q8ZAG3	Y3839_YERPE	reviewed	UPF0261 protein YPO3839/y0391/YP_3209	YPO3839 y0391 YP_3209	Yersinia pestis	WP_002211477.1;YP_002348717.1;
y0542		Q56990	HMUS_YERPE	reviewed	Hemin transport protein HmuS	hmuS YPO0282 y0542 YP_0437	Yersinia pestis	WP_002209061.1;YP_002345364.1;
y0546		Q0WK21	Q0WK21_YERPE	unreviewed	OrfX protein in hemin uptake locus	y0546	Yersinia pestis	WP_002215053.1;
y0556		Q8D1F7	Q8D1F7_YERPE	unreviewed	Putative tellurium resistance protein (Tellurite resistance protein)	terA y0556 C6P89_09050	Yersinia pestis	WP_002209075.1;
y0596		Q0WJX2	Q0WJX2_YERPE	unreviewed	Putative exported protein (Subtilase cytotoxin subunit B)	y0596 YP_0491 C6P89_05245	Yersinia pestis	WP_002209112.1;
y0606		Q8CWH9	Q8CWH9_YERPE	unreviewed	Aspartate ammonia-lyase (Aspartase) (EC 4.3.1.1)	aspA y0606	Yersinia pestis	WP_002232006.1;
y0616		Q0WJV1	Q0WJV1_YERPE	unreviewed	Succinate dehydrogenase iron-sulfur subunit (EC 1.3.5.1)	frdB y0616 YP_0514 C6P89_05360	Yersinia pestis	WP_002209136.1;
y0617		Q0WJV0	Q0WJV0_YERPE	unreviewed	Fumarate reductase flavoprotein subunit (EC 1.3.5.4)	frdA y0617 YP_0515 C6P89_05365	Yersinia pestis	WP_002209137.1;
y0686		Q8ZBC0	RIMP_YERPE	reviewed	Ribosome maturation factor RimP	rimP YPO3498 y0686 YP_0585	Yersinia pestis	
y0696		Q8D1D0	Q8D1D0_YERPE	unreviewed	ATP-dependent RNA helicase DeaD (EC 3.6.4.13) (Cold-shock DEAD box protein A)	deaD y0696 YP_0595	Yersinia pestis	
y0722		Q0WBI6	Q0WBI6_YERPE	unreviewed	Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase (PhnM protein) (Phosphonate metabolism protein)	phnM y0722 YP_0620 C6P89_01935	Yersinia pestis	WP_002209286.1;
y0733		Q0WBJ5	Q0WBJ5_YERPE	unreviewed	Anaerobic ribonucleoside-triphosphate reductase	nrdD y0733 YP_0631 C6P89_01890	Yersinia pestis	WP_002209296.1;
y0766		Q8D1B5	Q8D1B5_YERPE	unreviewed	Pyruvate dehydrogenase complex repressor (Transcriptional regulator for pyruvate dehydrogenase complex)	pdhR y0766 YP_0264	Yersinia pestis	
y0767		A0A0H2W249	A0A0H2W249_YERPE	unreviewed	Pyruvate dehydrogenase E1 component (EC 1.2.4.1)	aceE y0767 YP_0265 C6P89_19505	Yersinia pestis	WP_002209329.1;
y0768		A0A0H2W0C1	A0A0H2W0C1_YERPE	unreviewed	Acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	aceF y0768 YP_0266 C6P89_19500	Yersinia pestis	WP_002209330.1;
y0769		Q0WBM9	Q0WBM9_YERPE	unreviewed	Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	lpdA y0769 YP_0268 C6P89_19495	Yersinia pestis	WP_002222081.1;
y0818		Q8ZBN6	CYSJ_YERPE	reviewed	Sulfite reductase [NADPH] flavoprotein alpha-component (SiR-FP) (EC 1.8.1.2)	cysJ YPO3372 y0818 YP_0314	Yersinia pestis	WP_002209381.1;YP_002348264.1;
y0870		Q9X6B0	KATG_YERPE	reviewed	Catalase-peroxidase (CP) (EC 1.11.1.21) (Antigen 5) (Peroxidase/catalase)	katG katY YPO3319 y0870 YP_0367	Yersinia pestis	WP_002209433.1;YP_002348215.1;
y0914		Q74X11	CLPB_YERPE	reviewed	Chaperone protein ClpB	clpB YPO3275 y0914 YP_0656	Yersinia pestis	YP_002348175.1;
y0964		Q8D170	Y3224_YERPE	reviewed	UPF0255 protein YPO3224/y0964/YP_0709	YPO3224 y0964 YP_0709	Yersinia pestis	WP_002208703.1;YP_002348126.1;
y0966		Q8ZC08	PROB_YERPE	reviewed	Glutamate 5-kinase (EC 2.7.2.11) (Gamma-glutamyl kinase) (GK)	proB YPO3222 y0966 YP_0711	Yersinia pestis	WP_002208701.1;YP_002348124.1;
y0978		Q8D168	Q8D168_YERPE	unreviewed	Phosphate regulon transcriptional regulatory protein (Positive response regulator for pho regulon)	phoB y0978 YP_0727	Yersinia pestis	
y1043		A0A1U8QU40	A0A1U8QU40_YERPE	unreviewed	Uncharacterized protein	Y1043 YP_pMT013 C6P89_16015	Yersinia pestis	WP_002228782.1;YP_093889.1;
y1043		Q8D151	Q8D151_YERPE	unreviewed	Acyl-CoA thioesterase II	tesB y1043 YP_0790	Yersinia pestis	
y1064		A0A1U8QLC2	A0A1U8QLC2_YERPE	unreviewed	Uncharacterized protein	Y1064 YP_pMT124	Yersinia pestis	WP_002211759.1;YP_093996.1;
y1064		P58482	HTPG_YERPE	reviewed	Chaperone protein HtpG (Heat shock protein HtpG) (High temperature protein G)	htpG YPO3119 y1064 YP_0811	Yersinia pestis	YP_002348027.1;
y1194		Q0WDR3	Q0WDR3_YERPE	unreviewed	PhoH family protein (Phosphate starvation-inducible protein PhoH, predicted ATPase) (Putative ATP-binding protein in pho regulon)	phoH1 y1194 YP_1094 C6P89_16930	Yersinia pestis	WP_010981414.1;
y1195		Q0WDR2	MIAB_YERPE	reviewed	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase (EC 2.8.4.3) ((Dimethylallyl)adenosine tRNA methylthiotransferase MiaB) (tRNA-i(6)A37 methylthiotransferase)	miaB YPO2620 y1195 YP_1093	Yersinia pestis	WP_002227875.1;YP_002347576.1;
y1237		P69994	URE3_YERPE	reviewed	Urease subunit gamma (EC 3.5.1.5) (Urea amidohydrolase subunit gamma)	ureA yeuA YPO2665 y1237 YP_2466	Yersinia pestis	WP_002215288.1;YP_002347614.1;
y1240		Q9ZFR8	UREE_YERPE	reviewed	Urease accessory protein UreE	ureE YPO2668 y1240 YP_2469	Yersinia pestis	WP_002212230.1;YP_002347617.1;
y1242		P69992	UREG_YERPE	reviewed	Urease accessory protein UreG	ureG YPO2670 y1242 YP_2471	Yersinia pestis	WP_002212232.1;YP_002347619.1;
y1290		Q0WDI0	Q0WDI0_YERPE	unreviewed	RNA polymerase sigma factor	rpoE y1290 YP_2515 C6P89_06595	Yersinia pestis	WP_002209672.1;
y1295		Q8ZD74	LEPA_YERPE	reviewed	Elongation factor 4 (EF-4) (EC 3.6.5.n1) (Ribosomal back-translocase LepA)	lepA YPO2716 y1295 YP_2520	Yersinia pestis	WP_002209677.1;YP_002347663.1;
y1298		Q8ZD71	ERA_YERPE	reviewed	GTPase Era	era YPO2719 y1298 YP_2523	Yersinia pestis	WP_002214829.1;YP_002347666.1;
y1357		Q8ZCT9	DER_YERPE	reviewed	GTPase Der (GTP-binding protein EngA)	der engA YPO2875 y1357 YP_2741	Yersinia pestis	WP_002209813.1;YP_002347810.1;
y1362		Q0WD32	IMDH_YERPE	reviewed	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	guaB YPO2871 y1362 YP_2737	Yersinia pestis	WP_002227862.1;YP_002347806.1;
y1397		A0A0H2W7J2	A0A0H2W7J2_YERPE	unreviewed	Exopolyphosphatase (Putative exopolyphosphatase)	ppx y1397 YP_2704 C6P89_15425	Yersinia pestis	WP_002209783.1;
y1455		A0A0H2W657	A0A0H2W657_YERPE	unreviewed	Putative exported protein (TIGR00156 family protein)	y1455 YP_2650 C6P89_13545	Yersinia pestis	WP_002208522.1;
y1485		Q0WCR9	Q0WCR9_YERPE	unreviewed	PTS glucose transporter subunit IIA (PTS system, glucose-specific IIA component)	crr y1485 YP_2620 C6P89_21125	Yersinia pestis	WP_002208491.1;
y1579		Q8ZD46	FADI_YERPE	reviewed	3-ketoacyl-CoA thiolase (EC 2.3.1.16) (ACSs) (Acetyl-CoA acyltransferase) (Acyl-CoA ligase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)	fadI YPO2746 y1579 YP_2418	Yersinia pestis	WP_002209704.1;YP_002347693.1;
y1601		Q0WDC3	ACCD_YERPE	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD YPO2768 y1601 YP_2396	Yersinia pestis	WP_002209729.1;YP_002347715.1;
y1611		Q8D0T6	Q8D0T6_YERPE	unreviewed	Putative nucleoside-diphosphate sugar epimerases (SulA family) (Putative sugar nucleotide epimerase)	y1611 YP_2386	Yersinia pestis	
y1631		Q7CJ93	NUOB_YERPE	reviewed	NADH-quinone oxidoreductase subunit B (EC 1.6.5.11) (NADH dehydrogenase I subunit B) (NDH-1 subunit B)	nuoB YPO2554 y1631 YP_2365	Yersinia pestis	WP_002210278.1;YP_002347515.1;
y1632		Q7CJ92	NUOCD_YERPE	reviewed	NADH-quinone oxidoreductase subunit C/D (EC 1.6.5.11) (NADH dehydrogenase I subunit C/D) (NDH-1 subunit C/D)	nuoC nuoCD nuoD YPO2553 y1632 YP_2364	Yersinia pestis	WP_002210277.1;YP_002347514.1;
y1633		Q8D0S9	Q8D0S9_YERPE	unreviewed	NADH dehydrogenase I chain E	nuoE y1633 YP_2363	Yersinia pestis	WP_002228514.1;
