yourlist:M20180720A7434721E10EE6586998A056CCD0537E9501E8Y	isomap:M20180720A7434721E10EE6586998A056CCD0537E9501E8Y	Entry	Entry name	Status	Protein names	Gene names	Organism	Cross-reference (RefSeq)
YPDSF_0930		A4TJ68	TRPA_YERPP	reviewed	Tryptophan synthase alpha chain (EC 4.2.1.20)	trpA YPDSF_0930	Yersinia pestis (strain Pestoides F)	WP_002210634.1;
YPDSF_0947		A4TJ85	CLSA_YERPP	reviewed	Cardiolipin synthase A (CL synthase) (EC 2.7.8.-)	clsA cls YPDSF_0947	Yersinia pestis (strain Pestoides F)	WP_002210648.1;
YPDSF_0962		A4TJA0	Y962_YERPP	reviewed	UPF0225 protein YPDSF_0962	YPDSF_0962	Yersinia pestis (strain Pestoides F)	WP_002210666.1;
YPDSF_0976		A4TJB4	MSRB_YERPP	reviewed	Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase)	msrB YPDSF_0976	Yersinia pestis (strain Pestoides F)	WP_002211677.1;
YPDSF_0981		A4TJB9	Y981_YERPP	reviewed	UPF0229 protein YPDSF_0981	YPDSF_0981	Yersinia pestis (strain Pestoides F)	WP_002216501.1;
YPDSF_0986		A4TJC4	DADA_YERPP	reviewed	D-amino acid dehydrogenase (EC 1.4.99.-)	dadA YPDSF_0986	Yersinia pestis (strain Pestoides F)	WP_011906208.1;
YPDSF_0988		A4TJC6	FADR_YERPP	reviewed	Fatty acid metabolism regulator protein	fadR YPDSF_0988	Yersinia pestis (strain Pestoides F)	WP_002211688.1;
YPDSF_1042		A4TJI0	Y1042_YERPP	reviewed	YcgL domain-containing protein YPDSF_1042	YPDSF_1042	Yersinia pestis (strain Pestoides F)	WP_002211743.1;
YPDSF_1043		A4TJI1	MINC_YERPP	reviewed	Probable septum site-determining protein MinC	minC YPDSF_1043	Yersinia pestis (strain Pestoides F)	WP_002220631.1;
YPDSF_1045		A4TJI3	MINE_YERPP	reviewed	Cell division topological specificity factor	minE YPDSF_1045	Yersinia pestis (strain Pestoides F)	WP_002211180.1;
YPDSF_1064		A4TJK0	RUVB_YERPP	reviewed	Holliday junction ATP-dependent DNA helicase RuvB (EC 3.6.4.12)	ruvB YPDSF_1064	Yersinia pestis (strain Pestoides F)	WP_002211198.1;
YPDSF_1067		A4TJK3	Y1067_YERPP	reviewed	Probable transcriptional regulatory protein YPDSF_1067	YPDSF_1067	Yersinia pestis (strain Pestoides F)	WP_002211202.1;
YPDSF_1069		A4TJK5	SYD_YERPP	reviewed	Aspartate--tRNA ligase (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS)	aspS YPDSF_1069	Yersinia pestis (strain Pestoides F)	WP_002211204.1;
YPDSF_1072		A4TJK8	CMOA_YERPP	reviewed	Carboxy-S-adenosyl-L-methionine synthase (Cx-SAM synthase) (EC 2.1.3.-)	cmoA YPDSF_1072	Yersinia pestis (strain Pestoides F)	WP_002211207.1;
YPDSF_1073		A4TJK9	CMOB_YERPP	reviewed	tRNA U34 carboxymethyltransferase (EC 2.5.1.-)	cmoB YPDSF_1073	Yersinia pestis (strain Pestoides F)	WP_002211208.1;
YPDSF_1074		A4TJL0	CUTC_YERPP	reviewed	Copper homeostasis protein CutC	cutC YPDSF_1074	Yersinia pestis (strain Pestoides F)	WP_002211209.1;
YPDSF_1077		A4TJL3	SYR_YERPP	reviewed	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)	argS YPDSF_1077	Yersinia pestis (strain Pestoides F)	WP_002211212.1;
YPDSF_1086		A4TJM2	Y1086_YERPP	reviewed	Probable phosphatase YPDSF_1086 (EC 3.1.3.-)	YPDSF_1086	Yersinia pestis (strain Pestoides F)	WP_002211221.1;
YPDSF_1097		A4TJN3	KDSA_YERPP	reviewed	2-dehydro-3-deoxyphosphooctonate aldolase (EC 2.5.1.55) (3-deoxy-D-manno-octulosonic acid 8-phosphate synthase) (KDO-8-phosphate synthase) (KDO 8-P synthase) (KDOPS) (Phospho-2-dehydro-3-deoxyoctonate aldolase)	kdsA YPDSF_1097	Yersinia pestis (strain Pestoides F)	WP_002211232.1;
YPDSF_1101		A4TJN7	RF1_YERPP	reviewed	Peptide chain release factor 1 (RF-1)	prfA YPDSF_1101	Yersinia pestis (strain Pestoides F)	WP_002211236.1;
YPDSF_1102		A4TJN8	HEM1_YERPP	reviewed	Glutamyl-tRNA reductase (GluTR) (EC 1.2.1.70)	hemA YPDSF_1102	Yersinia pestis (strain Pestoides F)	WP_002211237.1;
YPDSF_1103		A4TJN9	LOLB_YERPP	reviewed	Outer-membrane lipoprotein LolB	lolB YPDSF_1103	Yersinia pestis (strain Pestoides F)	WP_002224468.1;
YPDSF_1104		A4TJP0	ISPE_YERPP	reviewed	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (CMK) (EC 2.7.1.148) (4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase)	ispE YPDSF_1104	Yersinia pestis (strain Pestoides F)	WP_002211239.1;
YPDSF_1157		A4TJU3	ASTE_YERPP	reviewed	Succinylglutamate desuccinylase (EC 3.5.1.96)	astE YPDSF_1157	Yersinia pestis (strain Pestoides F)	WP_002212028.1;
YPDSF_1158		A4TJU4	ASTB_YERPP	reviewed	N-succinylarginine dihydrolase (EC 3.5.3.23)	astB YPDSF_1158	Yersinia pestis (strain Pestoides F)	WP_002212029.1;
YPDSF_1159		A4TJU5	ASTD_YERPP	reviewed	N-succinylglutamate 5-semialdehyde dehydrogenase (EC 1.2.1.71) (Succinylglutamic semialdehyde dehydrogenase) (SGSD)	astD YPDSF_1159	Yersinia pestis (strain Pestoides F)	WP_011906226.1;
YPDSF_1160		A4TJU6	ASTA_YERPP	reviewed	Arginine N-succinyltransferase (AST) (EC 2.3.1.109) (AOST)	astA YPDSF_1160	Yersinia pestis (strain Pestoides F)	WP_002212031.1;
YPDSF_1267		A4TK48	NANM_YERPP	reviewed	N-acetylneuraminate epimerase (EC 5.1.3.24) (N-acetylneuraminate mutarotase) (Neu5Ac mutarotase) (Sialic acid epimerase)	nanM YPDSF_1267	Yersinia pestis (strain Pestoides F)	WP_002211169.1;
YPDSF_1268		A4TK49	NQOR_YERPP	reviewed	NAD(P)H dehydrogenase (quinone) (EC 1.6.5.2) (Flavoprotein WrbA) (NAD(P)H:quinone oxidoreductase) (NQO)	YPDSF_1268	Yersinia pestis (strain Pestoides F)	WP_002211168.1;
YPDSF_1281		A4TK60	DCYD_YERPP	reviewed	D-cysteine desulfhydrase (EC 4.4.1.15)	dcyD YPDSF_1281	Yersinia pestis (strain Pestoides F)	WP_002227959.1;
YPDSF_1348		A4TKC7	PURT_YERPP	reviewed	Formate-dependent phosphoribosylglycinamide formyltransferase (5'-phosphoribosylglycinamide transformylase 2) (Formate-dependent GAR transformylase) (EC 2.1.2.-) (GAR transformylase 2) (GART 2) (Non-folate glycinamide ribonucleotide transformylase) (Phosphoribosylglycinamide formyltransferase 2)	purT YPDSF_1348	Yersinia pestis (strain Pestoides F)	WP_002211083.1;
YPDSF_1351		A4TKD0	NUDL_YERPP	reviewed	Uncharacterized Nudix hydrolase NudL (EC 3.6.1.-)	nudL YPDSF_1351	Yersinia pestis (strain Pestoides F)	WP_002211080.1;
YPDSF_1391		A4TKG8	MTFA_YERPP	reviewed	Protein MtfA (Mlc titration factor A)	mtfA YPDSF_1391	Yersinia pestis (strain Pestoides F)	WP_002211042.1;
YPDSF_1406		A4TKI3	ASSY_YERPP	reviewed	Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)	argG YPDSF_1406	Yersinia pestis (strain Pestoides F)	WP_002211920.1;
YPDSF_1407		A4TKI4	LLDD_YERPP	reviewed	L-lactate dehydrogenase (EC 1.1.-.-)	lldD YPDSF_1407	Yersinia pestis (strain Pestoides F)	WP_002211919.1;
YPDSF_1416		A4TKJ3	Y1416_YERPP	reviewed	UPF0265 protein YPDSF_1416	YPDSF_1416	Yersinia pestis (strain Pestoides F)	WP_002217522.1;
YPDSF_1427		A4TKK2	HIS1_YERPP	reviewed	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	hisG YPDSF_1427	Yersinia pestis (strain Pestoides F)	WP_002211896.1;
YPDSF_1429		A4TKK4	HIS8_YERPP	reviewed	Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase)	hisC YPDSF_1429	Yersinia pestis (strain Pestoides F)	WP_002211894.1;
YPDSF_1432		A4TKK7	HIS4_YERPP	reviewed	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase (EC 5.3.1.16) (Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase)	hisA YPDSF_1432	Yersinia pestis (strain Pestoides F)	WP_002211891.1;
YPDSF_1433		A4TKK8	HIS6_YERPP	reviewed	Imidazole glycerol phosphate synthase subunit HisF (EC 4.1.3.-) (IGP synthase cyclase subunit) (IGP synthase subunit HisF) (ImGP synthase subunit HisF) (IGPS subunit HisF)	hisF YPDSF_1433	Yersinia pestis (strain Pestoides F)	WP_011906253.1;
YPDSF_1451		A4TKM6	DCD_YERPP	reviewed	dCTP deaminase (EC 3.5.4.13) (Deoxycytidine triphosphate deaminase)	dcd YPDSF_1451	Yersinia pestis (strain Pestoides F)	WP_002211873.1;
YPDSF_1452		A4TKM7	URK_YERPP	reviewed	Uridine kinase (EC 2.7.1.48) (Cytidine monophosphokinase) (Uridine monophosphokinase)	udk YPDSF_1452	Yersinia pestis (strain Pestoides F)	WP_002211872.1;
YPDSF_1454		A4TKM9	SYM_YERPP	reviewed	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	metG YPDSF_1454	Yersinia pestis (strain Pestoides F)	WP_002211870.1;
YPDSF_1462		A4TKN7	CDD_YERPP	reviewed	Cytidine deaminase (EC 3.5.4.5) (Cytidine aminohydrolase) (CDA)	cdd YPDSF_1462	Yersinia pestis (strain Pestoides F)	WP_002211969.1;
YPDSF_1463		A4TKN8	MAO1_YERPP	reviewed	NAD-dependent malic enzyme (NAD-ME) (EC 1.1.1.38)	maeA YPDSF_1463	Yersinia pestis (strain Pestoides F)	WP_002211968.1;
YPDSF_1529		A4TKV4	RLMI_YERPP	reviewed	Ribosomal RNA large subunit methyltransferase I (EC 2.1.1.191) (23S rRNA m5C1962 methyltransferase) (rRNA (cytosine-C(5)-)-methyltransferase RlmI)	rlmI YPDSF_1529	Yersinia pestis (strain Pestoides F)	WP_002213052.1;
YPDSF_1532		A4TKV7	Y1532_YERPP	reviewed	UPF0319 protein YPDSF_1532	YPDSF_1532	Yersinia pestis (strain Pestoides F)	WP_002213058.1;
YPDSF_1533		A4TKV8	MGSA_YERPP	reviewed	Methylglyoxal synthase (MGS) (EC 4.2.3.3)	mgsA YPDSF_1533	Yersinia pestis (strain Pestoides F)	WP_002213060.1;
YPDSF_1551		A4TKX6	RECO_YERPP	reviewed	DNA repair protein RecO (Recombination protein O)	recO YPDSF_1551	Yersinia pestis (strain Pestoides F)	WP_002209680.1;
YPDSF_1552		A4TKX7	ERA_YERPP	reviewed	GTPase Era	era YPDSF_1552	Yersinia pestis (strain Pestoides F)	WP_002214829.1;
YPDSF_1553		A4TKX8	RNC_YERPP	reviewed	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc YPDSF_1553	Yersinia pestis (strain Pestoides F)	WP_002209679.1;
YPDSF_1555		A4TKY0	LEPA_YERPP	reviewed	Elongation factor 4 (EF-4) (EC 3.6.5.n1) (Ribosomal back-translocase LepA)	lepA YPDSF_1555	Yersinia pestis (strain Pestoides F)	WP_011906267.1;
YPDSF_1566		A4TKZ1	GRCA_YERPP	reviewed	Autonomous glycyl radical cofactor	grcA YPDSF_1566	Yersinia pestis (strain Pestoides F)	WP_002209664.1;
YPDSF_1567		A4TKZ2	UNG_YERPP	reviewed	Uracil-DNA glycosylase (UDG) (EC 3.2.2.27)	ung YPDSF_1567	Yersinia pestis (strain Pestoides F)	WP_002209663.1;
YPDSF_1568		A4TKZ3	PCP_YERPP	reviewed	Pyrrolidone-carboxylate peptidase (EC 3.4.19.3) (5-oxoprolyl-peptidase) (Pyroglutamyl-peptidase I) (PGP-I) (Pyrase)	pcp YPDSF_1568	Yersinia pestis (strain Pestoides F)	WP_002209662.1;
YPDSF_1571		A4TKZ6	PXPA_YERPP	reviewed	5-oxoprolinase subunit A (5-OPase subunit A) (EC 3.5.2.9) (5-oxoprolinase (ATP-hydrolyzing) subunit A)	pxpA YPDSF_1571	Yersinia pestis (strain Pestoides F)	WP_002209659.1;
YPDSF_1592		A4TL15	CHBG_YERPP	reviewed	Chitooligosaccharide deacetylase (COD) (EC 3.5.1.105) (Chitin disaccharide deacetylase) (Chitobiose deacetylase) (Chitobiose-6P deacetylase) (Chitotriose deacetylase) (Chitotriose-6P deacetylase)	chbG YPDSF_1592	Yersinia pestis (strain Pestoides F)	WP_002212244.1;
YPDSF_1605		A4TL28	URED_YERPP	reviewed	Urease accessory protein UreD	ureD YPDSF_1605	Yersinia pestis (strain Pestoides F)	
YPDSF_1607		A4TL30	UREF_YERPP	reviewed	Urease accessory protein UreF	ureF YPDSF_1607	Yersinia pestis (strain Pestoides F)	WP_002212231.1;
YPDSF_1608		A4TL31	UREE_YERPP	reviewed	Urease accessory protein UreE	ureE YPDSF_1608	Yersinia pestis (strain Pestoides F)	WP_002212230.1;
YPDSF_1609		A4TL32	URE1_YERPP	reviewed	Urease subunit alpha (EC 3.5.1.5) (Urea amidohydrolase subunit alpha)	ureC YPDSF_1609	Yersinia pestis (strain Pestoides F)	WP_002212229.1;
YPDSF_1611		A4TL34	URE3_YERPP	reviewed	Urease subunit gamma (EC 3.5.1.5) (Urea amidohydrolase subunit gamma)	ureA YPDSF_1611	Yersinia pestis (strain Pestoides F)	WP_002215288.1;
YPDSF_1631		A4TL54	RNH_YERPP	reviewed	Ribonuclease H (RNase H) (EC 3.1.26.4)	rnhA YPDSF_1631	Yersinia pestis (strain Pestoides F)	WP_002210699.1;
YPDSF_1633		A4TL56	GLO2_YERPP	reviewed	Hydroxyacylglutathione hydrolase (EC 3.1.2.6) (Glyoxalase II) (Glx II)	gloB YPDSF_1633	Yersinia pestis (strain Pestoides F)	WP_011906275.1;
YPDSF_1643		A4TL66	SYP_YERPP	reviewed	Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)	proS YPDSF_1643	Yersinia pestis (strain Pestoides F)	WP_011906276.1;
YPDSF_1647		A4TL70	Y1647_YERPP	reviewed	UPF0253 protein YPDSF_1647	YPDSF_1647	Yersinia pestis (strain Pestoides F)	WP_002212152.1;
YPDSF_1652		A4TL75	ACCA_YERPP	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA YPDSF_1652	Yersinia pestis (strain Pestoides F)	WP_002212147.1;
YPDSF_1654		A4TL77	RNH2_YERPP	reviewed	Ribonuclease HII (RNase HII) (EC 3.1.26.4)	rnhB YPDSF_1654	Yersinia pestis (strain Pestoides F)	WP_002212145.1;
YPDSF_1656		A4TL79	LPXA_YERPP	reviewed	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (UDP-N-acetylglucosamine acyltransferase) (EC 2.3.1.129)	lpxA YPDSF_1656	Yersinia pestis (strain Pestoides F)	WP_002212143.1;
YPDSF_1657		A4TL80	FABZ_YERPP	reviewed	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ (EC 4.2.1.59) ((3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase) ((3R)-hydroxymyristoyl-ACP dehydrase) (Beta-hydroxyacyl-ACP dehydratase)	fabZ YPDSF_1657	Yersinia pestis (strain Pestoides F)	WP_002217656.1;
YPDSF_1660		A4TL83	BAMA_YERPP	reviewed	Outer membrane protein assembly factor BamA	bamA yaeT YPDSF_1660	Yersinia pestis (strain Pestoides F)	WP_002212139.1;
YPDSF_1664		A4TL87	DXR_YERPP	reviewed	1-deoxy-D-xylulose 5-phosphate reductoisomerase (DXP reductoisomerase) (EC 1.1.1.267) (1-deoxyxylulose-5-phosphate reductoisomerase) (2-C-methyl-D-erythritol 4-phosphate synthase)	dxr YPDSF_1664	Yersinia pestis (strain Pestoides F)	WP_002212135.1;
YPDSF_1665		A4TL88	RRF_YERPP	reviewed	Ribosome-recycling factor (RRF) (Ribosome-releasing factor)	frr YPDSF_1665	Yersinia pestis (strain Pestoides F)	WP_002212134.1;
YPDSF_1666		A4TL89	PYRH_YERPP	reviewed	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)	pyrH YPDSF_1666	Yersinia pestis (strain Pestoides F)	WP_002212133.1;
YPDSF_1668		A4TL91	EFTS_YERPP	reviewed	Elongation factor Ts (EF-Ts)	tsf YPDSF_1668	Yersinia pestis (strain Pestoides F)	WP_002212132.1;
YPDSF_1669		A4TL92	RS2_YERPP	reviewed	30S ribosomal protein S2	rpsB YPDSF_1669	Yersinia pestis (strain Pestoides F)	WP_002221800.1;
YPDSF_1671		A4TL94	GLND_YERPP	reviewed	Bifunctional uridylyltransferase/uridylyl-removing enzyme (UTase/UR) (Bifunctional [protein-PII] modification enzyme) (Bifunctional nitrogen sensor protein) [Includes: [Protein-PII] uridylyltransferase (PII uridylyltransferase) (UTase) (EC 2.7.7.59); [Protein-PII]-UMP uridylyl-removing enzyme (UR) (EC 3.1.4.-)]	glnD YPDSF_1671	Yersinia pestis (strain Pestoides F)	
YPDSF_1672		A4TL95	DAPD_YERPP	reviewed	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117) (Tetrahydrodipicolinate N-succinyltransferase) (THDP succinyltransferase) (THP succinyltransferase) (Tetrahydropicolinate succinylase)	dapD YPDSF_1672	Yersinia pestis (strain Pestoides F)	WP_002212128.1;
YPDSF_1673		A4TL96	Y1673_YERPP	reviewed	UPF0325 protein YPDSF_1673	YPDSF_1673	Yersinia pestis (strain Pestoides F)	WP_002212127.1;
YPDSF_1678		A4TLA1	SYDP_YERPP	reviewed	Protein Syd	syd YPDSF_1678	Yersinia pestis (strain Pestoides F)	
YPDSF_1679		A4TLA2	QUEF_YERPP	reviewed	NADPH-dependent 7-cyano-7-deazaguanine reductase (EC 1.7.1.13) (7-cyano-7-carbaguanine reductase) (NADPH-dependent nitrile oxidoreductase) (PreQ(0) reductase)	queF YPDSF_1679	Yersinia pestis (strain Pestoides F)	WP_002212122.1;
YPDSF_1682		A4TLA5	RLMM_YERPP	reviewed	Ribosomal RNA large subunit methyltransferase M (EC 2.1.1.186) (23S rRNA (cytidine2498-2'-O)-methyltransferase) (23S rRNA 2'-O-ribose methyltransferase RlmM)	rlmM YPDSF_1682	Yersinia pestis (strain Pestoides F)	WP_002212119.1;
YPDSF_1702		A4TLC5	TYSY_YERPP	reviewed	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	thyA YPDSF_1702	Yersinia pestis (strain Pestoides F)	WP_002211384.1;
YPDSF_1703		A4TLC6	LGT_YERPP	reviewed	Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)	lgt YPDSF_1703	Yersinia pestis (strain Pestoides F)	WP_002211383.1;
YPDSF_1705		A4TLC8	RPPH_YERPP	reviewed	RNA pyrophosphohydrolase (EC 3.6.1.-) ((Di)nucleoside polyphosphate hydrolase)	rppH nudH YPDSF_1705	Yersinia pestis (strain Pestoides F)	WP_002211381.1;
YPDSF_1710		A4TLD3	AAS_YERPP	reviewed	Bifunctional protein Aas [Includes: 2-acylglycerophosphoethanolamine acyltransferase (EC 2.3.1.40) (2-acyl-GPE acyltransferase) (Acyl-[acyl-carrier-protein]--phospholipid O-acyltransferase); Acyl-[acyl-carrier-protein] synthetase (EC 6.2.1.20) (Acyl-ACP synthetase) (Long-chain-fatty-acid--[acyl-carrier-protein] ligase)]	aas YPDSF_1710	Yersinia pestis (strain Pestoides F)	WP_002230664.1;
YPDSF_1723		A4TLE6	KDUI_YERPP	reviewed	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase (EC 5.3.1.17) (5-keto-4-deoxyuronate isomerase) (DKI isomerase)	kduI YPDSF_1723	Yersinia pestis (strain Pestoides F)	WP_002210829.1;
YPDSF_1742		A4TLG5	HTPX_YERPP	reviewed	Protease HtpX (EC 3.4.24.-) (Heat shock protein HtpX)	htpX YPDSF_1742	Yersinia pestis (strain Pestoides F)	WP_002210847.1;
YPDSF_1744		A4TLG7	PROQ_YERPP	reviewed	RNA chaperone ProQ	proQ YPDSF_1744	Yersinia pestis (strain Pestoides F)	WP_002210849.1;
YPDSF_1792		A4TLL5	BGAL_YERPP	reviewed	Beta-galactosidase (Beta-gal) (EC 3.2.1.23) (Lactase)	lacZ YPDSF_1792	Yersinia pestis (strain Pestoides F)	WP_002214048.1;
YPDSF_1810		A4TLN3	MNMA_YERPP	reviewed	tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13)	mnmA YPDSF_1810	Yersinia pestis (strain Pestoides F)	WP_002210913.1;
YPDSF_1811		A4TLN4	HFLD_YERPP	reviewed	High frequency lysogenization protein HflD homolog	hflD YPDSF_1811	Yersinia pestis (strain Pestoides F)	WP_002210914.1;
YPDSF_1817		A4TLP0	PEPT_YERPP	reviewed	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)	pepT YPDSF_1817	Yersinia pestis (strain Pestoides F)	WP_002210920.1;
YPDSF_1831		A4TLQ4	Y1831_YERPP	reviewed	UPF0227 protein YPDSF_1831	YPDSF_1831	Yersinia pestis (strain Pestoides F)	WP_002213095.1;
YPDSF_1842		A4TLR5	KTHY_YERPP	reviewed	Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)	tmk YPDSF_1842	Yersinia pestis (strain Pestoides F)	WP_002213082.1;
YPDSF_1847		A4TLS0	ACP_YERPP	reviewed	Acyl carrier protein (ACP)	acpP YPDSF_1847	Yersinia pestis (strain Pestoides F)	WP_002220787.1;
YPDSF_1850		A4TLS3	FABH_YERPP	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)	fabH YPDSF_1850	Yersinia pestis (strain Pestoides F)	WP_011906295.1;
YPDSF_1851		A4TLS4	PLSX_YERPP	reviewed	Phosphate acyltransferase (EC 2.3.1.n2) (Acyl-ACP phosphotransacylase) (Acyl-[acyl-carrier-protein]--phosphate acyltransferase) (Phosphate-acyl-ACP acyltransferase)	plsX YPDSF_1851	Yersinia pestis (strain Pestoides F)	WP_002210932.1;
YPDSF_1852		A4TLS5	RL32_YERPP	reviewed	50S ribosomal protein L32	rpmF YPDSF_1852	Yersinia pestis (strain Pestoides F)	WP_002210931.1;
YPDSF_1859		A4TLT2	PYRC_YERPP	reviewed	Dihydroorotase (DHOase) (EC 3.5.2.3)	pyrC YPDSF_1859	Yersinia pestis (strain Pestoides F)	WP_002213109.1;
YPDSF_1863		A4TLT6	MTOX_YERPP	reviewed	N-methyl-L-tryptophan oxidase (MTOX) (EC 1.5.3.-)	solA YPDSF_1863	Yersinia pestis (strain Pestoides F)	WP_002211850.1;
YPDSF_1866		A4TLT9	Y1866_YERPP	reviewed	UPF0176 protein YPDSF_1866	YPDSF_1866	Yersinia pestis (strain Pestoides F)	WP_002211854.1;
YPDSF_1922		A4TLZ3	DPS_YERPP	reviewed	DNA protection during starvation protein (EC 1.16.-.-)	dps YPDSF_1922	Yersinia pestis (strain Pestoides F)	WP_002210233.1;
YPDSF_1929		A4TM00	RLMF_YERPP	reviewed	Ribosomal RNA large subunit methyltransferase F (EC 2.1.1.181) (23S rRNA mA1618 methyltransferase) (rRNA adenine N-6-methyltransferase)	rlmF YPDSF_1929	Yersinia pestis (strain Pestoides F)	WP_011906300.1;
YPDSF_1936		A4TM07	MENH_YERPP	reviewed	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase (SHCHC synthase) (EC 4.2.99.20)	menH YPDSF_1936	Yersinia pestis (strain Pestoides F)	WP_002210246.1;
YPDSF_1958		A4TM29	NUOI_YERPP	reviewed	NADH-quinone oxidoreductase subunit I (EC 1.6.5.11) (NADH dehydrogenase I subunit I) (NDH-1 subunit I)	nuoI YPDSF_1958	Yersinia pestis (strain Pestoides F)	WP_002210273.1;
YPDSF_1959		A4TM30	NUOH_YERPP	reviewed	NADH-quinone oxidoreductase subunit H (EC 1.6.5.11) (NADH dehydrogenase I subunit H) (NDH-1 subunit H)	nuoH YPDSF_1959	Yersinia pestis (strain Pestoides F)	WP_002210274.1;
YPDSF_1963		A4TM34	NUOCD_YERPP	reviewed	NADH-quinone oxidoreductase subunit C/D (EC 1.6.5.11) (NADH dehydrogenase I subunit C/D) (NDH-1 subunit C/D)	nuoC nuoCD nuoD YPDSF_1963	Yersinia pestis (strain Pestoides F)	WP_002210277.1;
YPDSF_1964		A4TM35	NUOB_YERPP	reviewed	NADH-quinone oxidoreductase subunit B (EC 1.6.5.11) (NADH dehydrogenase I subunit B) (NDH-1 subunit B)	nuoB YPDSF_1964	Yersinia pestis (strain Pestoides F)	WP_002210278.1;
YPDSF_1965		A4TM36	NUOA_YERPP	reviewed	NADH-quinone oxidoreductase subunit A (EC 1.6.5.11) (NADH dehydrogenase I subunit A) (NDH-1 subunit A) (NUO1)	nuoA YPDSF_1965	Yersinia pestis (strain Pestoides F)	
YPDSF_1968		A4TM39	5DNU_YERPP	reviewed	5'-deoxynucleotidase YPDSF_1968 (EC 3.1.3.89) (5'-deoxyribonucleotidase) (Nucleoside 5'-monophosphate phosphohydrolase)	YPDSF_1968	Yersinia pestis (strain Pestoides F)	WP_002210283.1;
YPDSF_1971		A4TM42	Y1971_YERPP	reviewed	UPF0304 protein YPDSF_1971	YPDSF_1971	Yersinia pestis (strain Pestoides F)	WP_002210286.1;
YPDSF_1973		A4TM44	ACKA_YERPP	reviewed	Acetate kinase (EC 2.7.2.1) (Acetokinase)	ackA YPDSF_1973	Yersinia pestis (strain Pestoides F)	WP_002210288.1;
YPDSF_1993		A4TM62	ACCD_YERPP	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD YPDSF_1993	Yersinia pestis (strain Pestoides F)	WP_011906305.1;
YPDSF_1997		A4TM66	PDXB_YERPP	reviewed	Erythronate-4-phosphate dehydrogenase (EC 1.1.1.290)	pdxB YPDSF_1997	Yersinia pestis (strain Pestoides F)	WP_002209725.1;
YPDSF_2004		A4TM73	MNMC_YERPP	reviewed	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC (tRNA mnm(5)s(2)U biosynthesis bifunctional protein) [Includes: tRNA (mnm(5)s(2)U34)-methyltransferase (EC 2.1.1.61); FAD-dependent cmnm(5)s(2)U34 oxidoreductase (EC 1.5.-.-)]	mnmC YPDSF_2004	Yersinia pestis (strain Pestoides F)	WP_002209716.1;
YPDSF_2009		A4TM78	AROC_YERPP	reviewed	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	aroC YPDSF_2009	Yersinia pestis (strain Pestoides F)	WP_002209711.1;
