Protein_ref	Protein_id
y1187	NP_668513.1
y1188	NP_668514.1
y1189	NP_668515.1
y1190	NP_668516.1
y1191	NP_668517.1
y1192	NP_668518.1
y1193	NP_668519.1
y1194	NP_668520.1
y1195	NP_668521.1
y1196	NP_668522.1
y1197	NP_668523.1
y1198	NP_668524.1
y1199	NP_668525.1
y1200	NP_668526.1
y1201	NP_668527.1
y1202	NP_668528.1
y1203	NP_668529.1
y1204	NP_668530.1
y1205	NP_668531.2
y1206	NP_668532.1
y1208	NP_668533.1
y1209	NP_668534.1
y1210	NP_668535.1
y1211	NP_668536.1
y1212	NP_668537.1
y1213	NP_668538.1
y1214	NP_668539.1
y1215	NP_668540.1
y1216	NP_668541.1
y1217	NP_668542.1
y1218	NP_668543.1
y1219	NP_668544.1
y1220	NP_668545.1
y1221	NP_668546.1
y1222	NP_668547.1
y1223	NP_668548.1
y1225	NP_668549.1
y1226	NP_668550.2
y1227	NP_668551.1
y1228	NP_668552.1
y1229	NP_668553.1
y1230	NP_668554.1
y1231	NP_668555.1
y1232	NP_668556.1
y1233	NP_668557.1
y1234	NP_668558.1
y1235	NP_668559.1
y1236	NP_668560.1
y1237	NP_668561.1
y1238	NP_668562.1
y1239	NP_668563.2
y1240	NP_668564.1
y1241	NP_668565.1
y1242	NP_668566.1
y1244	NP_668567.1
y1245	NP_668568.1
y1246	NP_668569.1
y1247	NP_668570.1
y1248	NP_668571.1
y1249	NP_668572.1
y1250	NP_668573.1
y1251	NP_668574.1
y1252	NP_668575.1
y1253	NP_668576.1
y1254	NP_668577.1
y1255	NP_668578.1
y1256	NP_668579.1
y1257	NP_668580.2
y1258	NP_668581.1
y1259	NP_668582.1
y1260	NP_668583.1
y1261	NP_668584.1
y1262	NP_668585.1
y1263	NP_668586.1
y1264	NP_668587.1
y1265	NP_668588.1
y1266	NP_668589.1
y1267	NP_668590.1
y1268	NP_668591.1
y1270	NP_668592.1
y1269	NP_668593.1
y1271	NP_668594.1
y1272	NP_668595.1
y1273	NP_668596.1
y1274	NP_668597.1
y1275	NP_668598.1
y1276	NP_668599.1
y1277	NP_668600.1
y1278	NP_668601.1
y1279	NP_668602.1
y1280	NP_668603.1
y1281	NP_668604.1
y1282	NP_668605.2
y1283	NP_668606.1
y1284	NP_668607.1
y1285	NP_668608.1
y1286	NP_668609.1
y1287	NP_668610.1
y1288	NP_668611.1
y1289	NP_668612.1
y1290	NP_668613.1
y1291	NP_668614.1
y1292	NP_668615.1
y1293	NP_668616.1
y1294	NP_668617.1
y1295	NP_668618.1
y1296	NP_668619.1
y1297	NP_668620.1
y1298	NP_668621.1
y1299	NP_668622.2
y1300	NP_668623.1
y1301	NP_668624.1
y1302	NP_668625.1
y1303	NP_668626.1
y1304	NP_668627.1
y1305	NP_668628.1
y1306	NP_668629.2
y1307	NP_668630.1
y1308	NP_668631.1
y1309	NP_668632.1
y1310	NP_668633.1
y1311	NP_668634.1
y1312	NP_668635.1
y1313	NP_668636.1
y1314	NP_668637.1
y1315	NP_668638.1
y1316	NP_668639.1
y1317	NP_668640.1
y1319	NP_668641.1
y1320	NP_668642.1
y1321	NP_668643.1
y1322	NP_668644.1
y1323	NP_668645.1
y1324	NP_668646.1
y1325	NP_668647.1
y1328	NP_668648.1
y1326	NP_668649.1
y1327	NP_668650.1
y1329	NP_668651.1
y1330	NP_668652.1
y1331	NP_668653.1
y1332	NP_668654.1
y1333	NP_668655.1
y1334	NP_668656.1
y1335	NP_668657.1
y1336	NP_668658.1
y1337	NP_668659.1
y1338	NP_668660.1
y1339	NP_668661.1
y1340	NP_668662.1
y1341	NP_668663.1
y1342	NP_668664.1
y1343	NP_668665.1
y1344	NP_668666.1
y1345	NP_668667.1
y1346	NP_668668.1
y1347	NP_668669.1
y1348	NP_668670.1
y1349	NP_668671.1
y1350	NP_668672.1
y1351	NP_668673.1
y1352	NP_668674.1
y1353	NP_668675.1
y1354	NP_668676.1
y1355	NP_668677.1
y1356	NP_668678.1
y1357	NP_668679.1
y1358	NP_668680.1
y1359	NP_668681.1
y1360	NP_668682.1
y1361	NP_668683.1
y1362	NP_668684.1
y1363	NP_668685.1
y1364	NP_668686.1
y1365	NP_668687.1
y1366	NP_668688.1
y1367	NP_668689.1
y1368	NP_668690.1
y1369	NP_668691.1
y1370	NP_668692.1
y1371	NP_668693.1
y1372	NP_668694.1
y1373	NP_668695.1
y1374	NP_668696.1
y1375	NP_668697.1
y1376	NP_668698.1
y1377	NP_668699.1
y1378	NP_668700.1
y1379	NP_668701.1
y1380	NP_668702.1
y1381	NP_668703.1
y1383	NP_668704.1
y1384	NP_668705.1
y1385	NP_668706.1
y1386	NP_668707.1
y1388	NP_668708.1
y1387	NP_668709.1
y1389	NP_668710.1
y1390	NP_668711.1
y1391	NP_668712.1
y1392	NP_668713.1
y1393	NP_668714.1
y1394	NP_668715.1
y1395	NP_668716.1
y1396	NP_668717.1
y1397	NP_668718.1
y1398	NP_668719.1
y1399	NP_668720.1
y1400	NP_668721.1
y1401	NP_668722.1
y1402	NP_668723.1
y1403	NP_668724.1
y1404	NP_668725.1
y1405	NP_668726.1
y1406	NP_668727.1
y1407	NP_668728.1
y1408	NP_668729.2
y1409	NP_668730.1
y1410	NP_668731.1
y1411	NP_668732.1
y1412	NP_668733.1
y1413	NP_668734.1
y1414	NP_668735.1
y1415	NP_668736.1
y1416	NP_668737.1
y1417	NP_668738.1
y1418	NP_668739.1
y1419	NP_668740.1
y1420	NP_668741.1
y1421	NP_668742.1
y1422	NP_668743.1
y1423	NP_668744.1
y1424	NP_668745.1
y1425	NP_668746.2
y1426	NP_668747.1
y1427	NP_668748.1
y1428	NP_668749.1
y1429	NP_668750.1
y1430	NP_668751.1
y1431	NP_668752.1
y1432	NP_668753.1
y1433	NP_668754.1
y1434	NP_668755.1
y1436	NP_668756.1
y1435	NP_668757.1
y1437	NP_668758.1
y1438	NP_668759.1
y1439	NP_668760.1
y1440	NP_668761.1
y1441	NP_668762.1
y1442	NP_668763.1
y1443	NP_668764.1
y1445	NP_668765.1
y1446	NP_668766.2
y1447	NP_668767.1
y1448	NP_668768.1
y1449	NP_668769.1
y1450	NP_668770.1
y1451	NP_668771.1
y1452	NP_668772.1
y1453	NP_668773.1
y1454	NP_668774.1
y1455	NP_668775.1
y1456	NP_668776.1
y1457	NP_668777.1
y1458	NP_668778.1
y1459	NP_668779.1
y1460	NP_668780.1
y1461	NP_668781.1
y1462	NP_668782.1
y1463	NP_668783.1
y1464	NP_668784.1
y1465	NP_668785.1
y1466	NP_668786.1
y1467	NP_668787.1
y1468	NP_668788.1
y1469	NP_668789.1
y1470	NP_668790.1
y1471	NP_668791.1
y1472	NP_668792.1
y1473	NP_668793.1
y1474	NP_668794.1
y1475	NP_668795.1
y1476	NP_668796.1
y1477	NP_668797.1
y1478	NP_668798.1
y1479	NP_668799.1
y1480	NP_668800.1
y1481	NP_668801.1
y1482	NP_668802.1
y1483	NP_668803.1
y1484	NP_668804.1
y1486	NP_668805.1
y1485	NP_668806.1
y1487	NP_668807.1
y1488	NP_668808.1
y1489	NP_668809.1
y1490	NP_668810.1
y1491	NP_668811.1
y1492	NP_668812.1
y1493	NP_668813.1
y1494	NP_668814.1
y1495	NP_668815.1
y1496	NP_668816.1
y1497	NP_668817.1
y1498	NP_668818.1
y1499	NP_668819.1
y1500	NP_668820.1
y1501	NP_668821.1
y1502	NP_668822.1
y1503	NP_668823.1
y1504	NP_668824.1
y1505	NP_668825.1
y1506	NP_668826.1
y1507	NP_668827.1
y1510	NP_668828.1
y1508	NP_668829.1
y1509	NP_668830.1
y1511	NP_668831.1
y1512	NP_668832.1
y1513	NP_668833.1
y1514	NP_668834.1
y1515	NP_668835.1
y1516	NP_668836.1
y1517	NP_668837.1
y1518	NP_668838.1
y1519	NP_668839.1
y1520	NP_668840.1
y1521	NP_668841.1
y1522	NP_668842.1
y1523	NP_668843.1
y1524	NP_668844.1
y1525	NP_668845.1
y1526	NP_668846.1
y1527	NP_668847.1
y1528	NP_668848.1
y1529	NP_668849.1
y1530	NP_668850.1
y1531	NP_668851.1
y1532	NP_668852.1
y1533	NP_668853.1
y1534	NP_668854.1
y1536	NP_668855.1
y1535	NP_668856.1
y1537	NP_668857.1
y1538	NP_668858.1
y1539	NP_668859.1
y1540	NP_668860.1
y1541	NP_668861.1
y1542	NP_668862.1
y1544	NP_668863.1
y1545	NP_668864.1
y1546	NP_668865.1
y1547	NP_668866.1
y1548	NP_668867.1
y1549	NP_668868.1
y1550	NP_668869.1
y1551	NP_668870.1
y1553	NP_668871.1
y1555	NP_668872.1
y1554	NP_668873.1
y1556	NP_668874.1
y1557	NP_668875.1
y1559	NP_668876.1
y1558	NP_668877.1
y1560	NP_668878.1
y1561	NP_668879.1
y1562	NP_668880.1
y1563	NP_668881.1
y1564	NP_668882.1
y1565	NP_668883.1
y1566	NP_668884.1
y1567	NP_668885.1
y1568	NP_668886.1
y1569	NP_668887.1
y1570	NP_668888.1
y1571	NP_668889.1
y1572	NP_668890.1
y1573	NP_668891.1
y1574	NP_668892.1
y1575	NP_668893.1
y1576	NP_668894.1
y1577	NP_668895.1
y1578	NP_668896.1
y1579	NP_668897.1
y1580	NP_668898.1
y1581	NP_668899.1
y1582	NP_668900.1
y1583	NP_668901.1
y1584	NP_668902.1
y1585	NP_668903.1
y1586	NP_668904.1
y1587	NP_668905.1
y1588	NP_668906.1
y1589	NP_668907.1
y1590	NP_668908.2
y1591	NP_668909.1
y1592	NP_668910.1
y1593	NP_668911.1
y1594	NP_668912.1
y1595	NP_668913.1
y1596	NP_668914.1
y1597	NP_668915.1
y1598	NP_668916.1
y1599	NP_668917.1
y1600	NP_668918.1
y1601	NP_668919.2
y1602	NP_668920.1
y1603	NP_668921.2
y1604	NP_668922.1
y1605	NP_668923.1
y1606	NP_668924.1
y1607	NP_668925.1
y1608	NP_668926.1
y1609	NP_668927.1
y1610	NP_668928.1
y1611	NP_668929.1
y1612	NP_668930.1
y1613	NP_668931.1
y1614	NP_668932.1
y1615	NP_668933.1
y1616	NP_668934.1
y1617	NP_668935.1
y1618	NP_668936.1
y1619	NP_668937.1
y1620	NP_668938.1
y1621	NP_668939.1
y1622	NP_668940.1
y1623	NP_668941.1
y1624	NP_668942.2
y1625	NP_668943.2
y1626	NP_668944.1
y1627	NP_668945.1
y1628	NP_668946.2
y1629	NP_668947.1
y1630	NP_668948.1
y1631	NP_668949.1
y1632	NP_668950.1
y1633	NP_668951.1
y1634	NP_668952.1
y1635	NP_668953.1
y1636	NP_668954.1
y1637	NP_668955.1
y1638	NP_668956.1
y1639	NP_668957.1
y1640	NP_668958.1
y1641	NP_668959.1
y1642	NP_668960.1
y1643	NP_668961.1
y1644	NP_668962.1
y1645	NP_668963.1
y1646	NP_668964.1
y1647	NP_668965.1
y1648	NP_668966.1
y1649	NP_668967.1
y1650	NP_668968.1
y1651	NP_668969.1
y1652	NP_668970.1
y1653	NP_668971.1
y1654	NP_668972.1
y1655	NP_668973.1
y1656	NP_668974.1
y1657	NP_668975.1
y1658	NP_668976.1
y1659	NP_668977.2
y1660	NP_668978.1
y1661	NP_668979.1
y1662	NP_668980.2
y1663	NP_668981.1
y1664	NP_668982.1
y1665	NP_668983.1
y1666	NP_668984.1
y1667	NP_668985.1
y1668	NP_668986.1
y1669	NP_668987.1
y1670	NP_668988.1
y1671	NP_668989.1
y1672	NP_668990.1
y1673	NP_668991.1
y1674	NP_668992.1
y1675	NP_668993.1
y1676	NP_668994.1
y1677	NP_668995.1
y1678	NP_668996.1
y1679	NP_668997.1
y1680	NP_668998.1
y1681	NP_668999.1
y1682	NP_669000.1
y1683	NP_669001.1
y1684	NP_669002.1
y1685	NP_669003.1
y1686	NP_669004.1
y1687	NP_669005.1
y1688	NP_669006.1
y1689	NP_669007.1
y1690	NP_669008.1
y1691	NP_669009.1
y1692	NP_669010.1
y1693	NP_669011.2
y1695	NP_669012.1
y1696	NP_669013.1
y1697	NP_669014.2
y1698	NP_669015.1
y1699	NP_669016.1
y1700	NP_669017.1
y1701	NP_669018.1
y1702	NP_669019.1
y1703	NP_669020.1
y1704	NP_669021.1
y1705	NP_669022.1
y1706	NP_669023.1
y1707	NP_669024.1
y1708	NP_669025.1
y1709	NP_669026.1
y1710	NP_669027.1
y1711	NP_669028.1
y1712	NP_669029.1
y1713	NP_669030.1
y1714	NP_669031.1
y1715	NP_669032.1
y1716	NP_669033.1
y1717	NP_669034.1
y1718	NP_669035.1
y1719	NP_669036.1
y1720	NP_669037.1
y1722	NP_669038.1
y1721	NP_669039.1
y1723	NP_669040.1
y1724	NP_669041.1
y1725	NP_669042.1
y1726	NP_669043.1
y1727	NP_669044.1
y1728	NP_669045.1
y1729	NP_669046.1
y1730	NP_669047.1
y1731	NP_669048.1
y1732	NP_669049.1
y1733	NP_669050.1
y1734	NP_669051.1
y1735	NP_669052.1
y1736	NP_669053.1
y1737	NP_669054.1
y1738	NP_669055.1
y1739	NP_669056.2
y1740	NP_669057.1
y1741	NP_669058.1
y1742	NP_669059.1
y1743	NP_669060.1
y1745	NP_669061.1
y1744	NP_669062.1
y1746	NP_669063.1
y1747	NP_669064.1
y1748	NP_669065.1
y1749	NP_669066.1
y1750	NP_669067.2
y1751	NP_669068.2
y1752	NP_669069.1
y1753	NP_669070.1
y1755	NP_669071.1
y1754	NP_669072.1
y1756	NP_669073.1
y1757	NP_669074.1
y1758	NP_669075.1
y1759	NP_669076.1
y1760	NP_669077.1
y1761	NP_669078.1
y1762	NP_669079.1
y1763	NP_669080.1
y1764	NP_669081.1
y1765	NP_669082.1
y1766	NP_669083.1
y1767	NP_669084.1
y1768	NP_669085.1
y1769	NP_669086.2
y1770	NP_669087.1
y1771	NP_669088.1
y1772	NP_669089.1
y1773	NP_669090.1
y1775	NP_669091.1
y1774	NP_669092.1
y1776	NP_669093.1
y1777	NP_669094.1
y1778	NP_669095.1
y1779	NP_669096.1
y1780	NP_669097.1
y1781	NP_669098.1
y1782	NP_669099.1
y1783	NP_669100.1
y1784	NP_669101.1
y1785	NP_669102.1
y1786	NP_669103.1
y1787	NP_669104.1
y1788	NP_669105.2
y1789	NP_669106.1
y1790	NP_669107.1
y1791	NP_669108.1
y1792	NP_669109.1
y1793	NP_669110.1
y1794	NP_669111.1
y1795	NP_669112.1
y1796	NP_669113.1
y1797	NP_669114.1
y1798	NP_669115.1
y1799	NP_669116.1
y1800	NP_669117.1
y1801	NP_669118.1
y1802	NP_669119.1
y1803	NP_669120.1
y1804	NP_669121.1
y1805	NP_669122.1
y1806	NP_669123.1
y1807	NP_669124.1
y1808	NP_669125.1
y1809	NP_669126.1
y1810	NP_669127.1
y1811	NP_669128.1
y1812	NP_669129.1
y1813	NP_669130.1
y1814	NP_669131.1
y1815	NP_669132.1
y1816	NP_669133.1
y1817	NP_669134.1
y5002	YP_003169743.1
y1818	NP_669135.2
y1820	NP_669136.1
y1821	NP_669137.1
y1822	NP_669138.1
y1823	NP_669139.1
y1826	NP_669140.1
y1824	NP_669141.1
y1825	NP_669142.1
y1827	NP_669143.1
y1828	NP_669144.1
y1829	NP_669145.1
y1830	NP_669146.1
y1831	NP_669147.1
y1832	NP_669148.1
y1833	NP_669149.1
y1834	NP_669150.1
y1835	NP_669151.1
y1836	NP_669152.2
y1837	NP_669153.1
y1838	NP_669154.1
y1839	NP_669155.1
y1841	NP_669156.1
y1840	NP_669157.1
y1842	NP_669158.1
y1843	NP_669159.1
y1844	NP_669160.1
y1845	NP_669161.1
y1846	NP_669162.1
y1847	NP_669163.1
y1848	NP_669164.1
y1849	NP_669165.1
y1850	NP_669166.1
y1851	NP_669167.1
y1852	NP_669168.1
y1853	NP_669169.1
y1854	NP_669170.1
y1855	NP_669171.1
y1856	NP_669172.1
y1857	NP_669173.1
y1858	NP_669174.1
y1859	NP_669175.1
y1860	NP_669176.1
y1861	NP_669177.1
y1862	NP_669178.1
y1863	NP_669179.1
y1864	NP_669180.1
y1865	NP_669181.1
y1866	NP_669182.1
y1867	NP_669183.2
y1868	NP_669184.1
y1869	NP_669185.1
y1870	NP_669186.1
y1871	NP_669187.1
y1872	NP_669188.1
y1873	NP_669189.1
y1874	NP_669190.1
y1875	NP_669191.1
y1876	NP_669192.1
y1877	NP_669193.1
y1878	NP_669194.1
y1879	NP_669195.1
y1880	NP_669196.1
y1881	NP_669197.1
y1882	NP_669198.1
y1883	NP_669199.1
y1884	NP_669200.1
y1885	NP_669201.1
y1886	NP_669202.1
y1887	NP_669203.1
y1888	NP_669204.1
y1889	NP_669205.1
y1890	NP_669206.1
y1891	NP_669207.1
y1892	NP_669208.1
y1893	NP_669209.1
y1894	NP_669210.1
y1895	NP_669211.1
y1896	NP_669212.1
y1897	NP_669213.1
y1898	NP_669214.1
y1899	NP_669215.1
y1900	NP_669216.1
y1901	NP_669217.1
y1902	NP_669218.1
y1903	NP_669219.1
y1904	NP_669220.2
y1905	NP_669221.1
y1906	NP_669222.1
y1907	NP_669223.1
y1908	NP_669224.1
y1909	NP_669225.1
y1911	NP_669226.1
y1910	NP_669227.1
y1912	NP_669228.1
y1913	NP_669229.1
y1914	NP_669230.1
y1915	NP_669231.1
y1916	NP_669232.1
y1917	NP_669233.1
y1918	NP_669234.1
y1919	NP_669235.1
y1920	NP_669236.1
y1921	NP_669237.1
y1922	NP_669238.1
y1923	NP_669239.2
y1924	NP_669240.1
y1925	NP_669241.1
y1926	NP_669242.1
y1928	NP_669243.1
y1929	NP_669244.1
y1930	NP_669245.1
y1931	NP_669246.2
y1932	NP_669247.1
y1933	NP_669248.1
y1934	NP_669249.1
y1935	NP_669250.1
y1936	NP_669251.2
y1937	NP_669252.1
y1938	NP_669253.1
y1939	NP_669254.2
y1940	NP_669255.1
y1941	NP_669256.1
y1942	NP_669257.1
y1943	NP_669258.1
y5000	YP_003169744.1
y1944	NP_669259.1
y1945	NP_669260.1
y1946	NP_669261.1
y1947	NP_669262.1
y1948	NP_669263.1
y1949	NP_669264.1
y1950	NP_669265.1
y1951	NP_669266.1
y1952	NP_669267.1
y1953	NP_669268.1
y1954	NP_669269.1
y1955	NP_669270.1
y1956	NP_669271.1
y1957	NP_669272.1
y1958	NP_669273.1
y1959	NP_669274.1
y1960	NP_669275.1
y1961	NP_669276.1
y1962	NP_669277.1
y1963	NP_669278.2
y1964	NP_669279.1
y1965	NP_669280.1
y1966	NP_669281.1
y1967	NP_669282.1
y1968	NP_669283.1
y1969	NP_669284.1
y1970	NP_669285.1
y1971	NP_669286.2
y1972	NP_669287.1
y1973	NP_669288.1
y1974	NP_669289.1
y1975	NP_669290.1
y1976	NP_669291.1
y1977	NP_669292.1
y1978	NP_669293.1
y1979	NP_669294.2
y1980	NP_669295.1
y1981	NP_669296.1
y1982	NP_669297.1
y1983	NP_669298.1
y1984	NP_669299.1
y1985	NP_669300.1
y1986	NP_669301.1
y1987	NP_669302.1
y1988	NP_669303.1
y1989	NP_669304.1
y1990	NP_669305.2
y1991	NP_669306.1
y1992	NP_669307.1
y1993	NP_669308.1
y1994	NP_669309.2
y1995	NP_669310.1
y1996	NP_669311.1
y1997	NP_669312.1
y1998	NP_669313.1
y1999	NP_669314.1
y2000	NP_669315.1
y2001	NP_669316.1
y2002	NP_669317.1
y2003	NP_669318.1
y2004	NP_669319.1
y2005	NP_669320.1
y2006	NP_669321.1
y2007	NP_669322.1
y2008	NP_669323.1
y2009	NP_669324.1
y2010	NP_669325.1
y2011	NP_669326.2
y2012	NP_669327.1
y2013	NP_669328.1
y2014	NP_669329.1
y2015	NP_669330.1
y2016	NP_669331.1
y2017	NP_669332.1
y2018	NP_669333.1
y2019	NP_669334.1
y2020	NP_669335.1
y2021	NP_669336.1
y2022	NP_669337.1
y2023	NP_669338.1
y2024	NP_669339.1
y2025	NP_669340.1
y2026	NP_669341.1
y2027	NP_669342.1
y2028	NP_669343.1
y2029	NP_669344.1
y2030	NP_669345.1
y2031	NP_669346.1
y2032	NP_669347.2
y2033	NP_669348.1
y2034	NP_669349.1
y2035	NP_669350.1
y5001	YP_003169745.1
y2036	NP_669351.1
y2037	NP_669352.1
y2038	NP_669353.1
y2039	NP_669354.1
y2040	NP_669355.1
y2042	NP_669356.1
y2043	NP_669357.1
y2044	NP_669358.1
y2045	NP_669359.1
y2046	NP_669360.1
y2047	NP_669361.1
y2048	NP_669362.2
y2049	NP_669363.1
y2051	NP_669364.1
y2052	NP_669365.1
y2053	NP_669366.1
y2054	NP_669367.1
y2055	NP_669368.1
y2056	NP_669369.1
y2057	NP_669370.1
y2058	NP_669371.1
y2059	NP_669372.1
y2060	NP_669373.1
y2061	NP_669374.1
y2062	NP_669375.1
y2063	NP_669376.1
y2064	NP_669377.1
y2065	NP_669378.1
y2066	NP_669379.1
y2067	NP_669380.1
y2068	NP_669381.1
y2069	NP_669382.1
y2070	NP_669383.1
y2071	NP_669384.1
y2072	NP_669385.2
y2073	NP_669386.1
y2074	NP_669387.2
y2075	NP_669388.1
y2076	NP_669389.1
y2077	NP_669390.1
y2078	NP_669391.1
y2079	NP_669392.1
y2080	NP_669393.1
y2081	NP_669394.1
y2082	NP_669395.1
y2083	NP_669396.1
y2084	NP_669397.1
y2085	NP_669398.1
y2086	NP_669399.1
y2087	NP_669400.2
y2088	NP_669401.1
y2089	NP_669402.1
y2090	NP_669403.1
y2091	NP_669404.1
y2093	NP_669405.1
y2094	NP_669406.1
y2095	NP_669407.1
y2096	NP_669408.1
y2097	NP_669409.2
y2098	NP_669410.2
y2100	NP_669411.1
y2099	NP_669412.1
y2101	NP_669413.1
y2102	NP_669414.1
y2103	NP_669415.1
y2104	NP_669416.1
y2105	NP_669417.1
y2106	NP_669418.1
y2107	NP_669419.1
y2108	NP_669420.1
y2109	NP_669421.1
y2110	NP_669422.1
y2111	NP_669423.1
y2112	NP_669424.2
y2113	NP_669425.1
y2114	NP_669426.1
y2116	NP_669427.1
y2117	NP_669428.1
y2118	NP_669429.1
y2119	NP_669430.1
y2121	NP_669431.1
y2120	NP_669432.1
y2122	NP_669433.1
y2123	NP_669434.1
y2124	NP_669435.1
y2125	NP_669436.1
y2126	NP_669437.1
y2127	NP_669438.1
y2128	NP_669439.1
y2129	NP_669440.1
y2130	NP_669441.1
y2131	NP_669442.1
y2132	NP_669443.1
y2133	NP_669444.1
y2134	NP_669445.1
y2135	NP_669446.1
y2136	NP_669447.1
y2137	NP_669448.1
y2138	NP_669449.1
y2139	NP_669450.1
y2140	NP_669451.1
y2141	NP_669452.1
y2142	NP_669453.1
y2143	NP_669454.1
y2144	NP_669455.1
y2145	NP_669456.1
y2146	NP_669457.1
y2147	NP_669458.1
y2148	NP_669459.1
y2149	NP_669460.1
y2150	NP_669461.1
y2151	NP_669462.1
y2152	NP_669463.1
y2153	NP_669464.2
y2154	NP_669465.1
y2155	NP_669466.1
y2156	NP_669467.1
y2157	NP_669468.1
y2158	NP_669469.1
y2159	NP_669470.1
y2160	NP_669471.1
y2161	NP_669472.1
y2162	NP_669473.1
y2163	NP_669474.1
y2164	NP_669475.1
y2165	NP_669476.1
y2166	NP_669477.1
y2167	NP_669478.1
y2168	NP_669479.1
y2169	NP_669480.1
y2170	NP_669481.1
y2171	NP_669482.1
y2172	NP_669483.1
y2173	NP_669484.1
y2174	NP_669485.1
y2175	NP_669486.1
y2176	NP_669487.1
y2177	NP_669488.1
y2179	NP_669489.2
y2180	NP_669490.1
y2181	NP_669491.1
y2182	NP_669492.1
y2183	NP_669493.1
y2184	NP_669494.1
y2185	NP_669495.1
y2186	NP_669496.1
y2187	NP_669497.1
y2188	NP_669498.1
y2189	NP_669499.1
y2190	NP_669500.1
y2191	NP_669501.1
y2192	NP_669502.1
y2193	NP_669503.1
y2194	NP_669504.1
y2195	NP_669505.1
y2196	NP_669506.1
y2197	NP_669507.1
y2198	NP_669508.1
y2199	NP_669509.1
y2200	NP_669510.1
y2201	NP_669511.1
y2202	NP_669512.1
y2203	NP_669513.1
y2204	NP_669514.1
y2205	NP_669515.1
y2206	NP_669516.1
y2207	NP_669517.1
y2208	NP_669518.1
y2209	NP_669519.1
y2210	NP_669520.1
y2212	NP_669521.1
y2213	NP_669522.1
y2214	NP_669523.1
y2215	NP_669524.1
y2216	NP_669525.1
y2217	NP_669526.1
y2218	NP_669527.1
y2219	NP_669528.1
y2220	NP_669529.1
y2221	NP_669530.1
y2222	NP_669531.1
y2223	NP_669532.1
y2224	NP_669533.1
y2225	NP_669534.1
y2226	NP_669535.1
y2227	NP_669536.1
y2228	NP_669537.1
y2229	NP_669538.1
y2230	NP_669539.1
y2231	NP_669540.1
y2232	NP_669541.1
y2233	NP_669542.1
y2234	NP_669543.1
y2235	NP_669544.1
y2236	NP_669545.1
y2237	NP_669546.1
y2238	NP_669547.1
y2239	NP_669548.1
y2240	NP_669549.1
y2241	NP_669550.1
y2242	NP_669551.1
y2243	NP_669552.1
y2244	NP_669553.2
y2245	NP_669554.2
y2246	NP_669555.1
y2247	NP_669556.1
y2248	NP_669557.1
y2249	NP_669558.1
y2250	NP_669559.2
y2251	NP_669560.1
y2252	NP_669561.1
y2253	NP_669562.2
y2254	NP_669563.1
y2255	NP_669564.2
y2257	NP_669565.1
y2256	NP_669566.1
y2258	NP_669567.1
y2259	NP_669568.1
y2260	NP_669569.1
y2261	NP_669570.1
y2262	NP_669571.1
y2263	NP_669572.2
y2264	NP_669573.1
y2265	NP_669574.1
y2266	NP_669575.1
y2267	NP_669576.1
y2268	NP_669577.1
y2269	NP_669578.1
y2270	NP_669579.1
y2271	NP_669580.1
y2272	NP_669581.1
y2273	NP_669582.1
y2274	NP_669583.1
y2275	NP_669584.1
y2276	NP_669585.1
y2277	NP_669586.1
y2279	NP_669587.1
y2280	NP_669588.1
y2281	NP_669589.1
y2282	NP_669590.1
y2283	NP_669591.1
y2284	NP_669592.1
y2285	NP_669593.1
y2286	NP_669594.1
y2287	NP_669595.1
y2288	NP_669596.1
y2289	NP_669597.1
y2290	NP_669598.1
y2291	NP_669599.2
y2292	NP_669600.1
y2293	NP_669601.1
y2294	NP_669602.1
y2295	NP_669603.1
y2296	NP_669604.1
y2297	NP_669605.1
y2298	NP_669606.1
y2299	NP_669607.1
y2300	NP_669608.1
y2301	NP_669609.1
y2302	NP_669610.1
y2303	NP_669611.1
y2304	NP_669612.1
y2305	NP_669613.1
y2306	NP_669614.1
y2307	NP_669615.1
y2308	NP_669616.1
y2309	NP_669617.1
y2310	NP_669618.1
y2311	NP_669619.1
y2312	NP_669620.1
y2313	NP_669621.1
y2315	NP_669622.1
y2314	NP_669623.1
y2316	NP_669624.1
y2317	NP_669625.1
y2318	NP_669626.1
y2319	NP_669627.1
y2320	NP_669628.1
y2321	NP_669629.1
y2322	NP_669630.1
y2323	NP_669631.1
y2324	NP_669632.1
y2325	NP_669633.1
y2326	NP_669634.1
y2327	NP_669635.1
y2328	NP_669636.1
y2329	NP_669637.1
y2330	NP_669638.1
y2331	NP_669639.1
y2332	NP_669640.1
y2333	NP_669641.1
y2334	NP_669642.1
y2335	NP_669643.1
y2336	NP_669644.1
y2337	NP_669645.1
y2338	NP_669646.1
y2339	NP_669647.1
y2340	NP_669648.2
y2341	NP_669649.1
y2342	NP_669650.1
y2343	NP_669651.1
y2345	NP_669652.1
y2346	NP_669653.2
y2347	NP_669654.1
y2348	NP_669655.1
y2349	NP_669656.2
y2350	NP_669657.1
y2351	NP_669658.1
y2352	NP_669659.1
y2353	NP_669660.1
y2354	NP_669661.1
y2355	NP_669662.1
y2356	NP_669663.1
y2357	NP_669664.2
y2358	NP_669665.1
y2359	NP_669666.2
y2360	NP_669667.1
y2361	NP_669668.1
y2362	NP_669669.1
y2363	NP_669670.1
y2364	NP_669671.1
y2365	NP_669672.1
y2366	NP_669673.1
y2367	NP_669674.1
